Cluster Index	Voxels	P	-log10(P)	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
2	12	4.23e-05	4.37	3.54	31	44	30	30.9	43.8	30.3
1	6	0.0083	2.08	3.54	13	28	24	13.5	28.5	24.2
